crop label,Farm_ID,NDVI,Date,ground truth month,LATITUDE,LONGITUDE,"Lat, Long"
Cotton,C004,0.06969919296,2023-06-05,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.06785980611,2023-06-15,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.08309455587,2023-06-20,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.04342393002,2023-08-14,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.6709644146,2023-10-03,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.7276066686,2023-10-08,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.7653088751,2023-10-13,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.7350793251,2023-10-18,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.7099832683,2023-10-23,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.7122628151,2023-10-28,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.6388797364,2023-11-02,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.6653886372,2023-11-12,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.6602917342,2023-11-17,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.7377483444,2023-11-22,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.6907287034,2023-11-27,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.6952317439,2023-12-02,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.62368,2023-12-12,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.1894639556,2023-12-22,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.1632047478,2023-12-27,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.1827768014,2024-01-01,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.1716171617,2024-01-06,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C004,0.1514207863,2024-01-11,2023-10-15,17.11004093,76.53571702,"17.1100409290667, 76.5357170212457"
Cotton,C006,-0.0330079033,2022-06-15,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.5059726962,2022-09-03,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.03304347826,2022-09-18,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.4023591088,2022-09-28,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.4390451833,2022-10-03,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,-0.05263157895,2022-10-08,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.6676422764,2022-10-18,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.6241610738,2022-10-23,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.6593770709,2022-10-28,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.7052214144,2022-11-02,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.6830835118,2022-11-07,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.5985037406,2022-11-12,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.5917826375,2022-11-17,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.5458115183,2022-11-22,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.5671342685,2022-11-27,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.526172466,2022-12-02,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.4535888764,2022-12-17,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.4068767908,2022-12-22,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.3740014524,2022-12-27,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.376344086,2023-01-01,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.4362318841,2023-01-06,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.3523809524,2023-01-11,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.322218195,2023-01-16,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.3196027951,2023-01-21,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.3109898675,2023-01-26,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.2442455243,2023-01-31,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.2980030722,2023-02-05,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.2767271324,2023-02-10,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.2447552448,2023-02-15,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.2279411765,2023-02-20,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.2079353417,2023-02-25,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.1890694239,2023-03-02,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,-0.09109137783,2023-03-07,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.1827956989,2023-03-12,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.1538461538,2023-03-17,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.1698806244,2023-03-22,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.1753794266,2023-03-27,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
Cotton,C006,0.1578947368,2023-04-01,2022-12-15,20.64412731,78.04566326,"20.64412731, 78.04566326"
